GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000122912	9	3	3	3	3	4	4	3	3	2	3	2	6	5	4	3	2	1	3	8	4	3	4	3	3	4	2	4	2
ENSG00000122952	3	2	15	6	30	14	12	2	7	2	2	0.6	3	3	2	26	1	0.7	11	2	21	1	13	4	4	12	24	3	28
ENSG00000122958	26	24	22	24	21	30	19	26	32	19	23	11	22	13	23	19	22	6	28	22	27	14	21	21	20	21	41	24	23
ENSG00000122965	4	7	9	5	8	4	5	8	4	6	5	3	4	2	6	10	9	2	7	7	6	4	5	5	10	6	9	7	8
ENSG00000122966	0.5	3	1	0.6	4	1	1	0	1	0	0.6	0	3	0	1	1	0	0	1	0	2	0	1	0.9	4	1	4	0	2
ENSG00000122970	1	5	2	4	0	2	1	6	2	8	4	2	3	1	3	1	6	0.6	2	6	2	2	1	4	2	2	16	6	1
ENSG00000122971	33	14	5	4	8	18	48	4	4	4	5	12	15	26	8	4	3	5	6	5	7	8	43	4	14	14	9	6	2
ENSG00000122986	2	1	9	3	1	1	1	3	0.9	3	2	2	0.8	0.5	3	16	4	0	2	2	2	0	2	2	12	1	14	0.8	22
ENSG00000123064	6	6	9	7	14	7	9	8	6	11	5	5	9	4	7	12	11	4	8	8	3	7	8	4	12	8	6	9	6
ENSG00000123066	5	3	5	4	13	4	3	7	4	4	4	2	3	1	4	5	7	2	4	4	4	3	4	6	5	3	5	6	5
ENSG00000123080	25	5	4	5	9	4	5	5	3	4	4	4	2	1	3	7	11	2	3	3	4	2	5	6	4	2	2	2	6
ENSG00000123091	55	78	29	53	60	35	33	58	77	39	48	42	55	29	50	19	78	9	44	54	30	26	35	52	33	34	39	71	27
ENSG00000123094	7	13	4	5	0	3	2	23	4	7	12	6	15	3	11	2	21	1	5	11	2	2	2	14	4	2	23	5	1
ENSG00000123095	6	13	8	24	0	7	2	8	3	48	20	11	3	0.5	9	8	11	2	9	10	11	11	2	4	7	4	6	43	16
ENSG00000123096	8	5	3	11	0	5	2	12	7	14	12	14	3	0	4	3	15	0.9	2	10	5	3	3	9	3	4	4	10	4
ENSG00000123104	7	10	9	6	4	6	5	5	8	6	7	2	12	28	5	9	5	2	8	5	7	12	5	4	6	5	3	5	7
ENSG00000123106	4	6	5	6	2	4	3	5	4	4	5	6	4	3	4	5	5	2	3	5	4	3	4	4	4	4	23	7	4
ENSG00000123119	1	3	1	3	1	0.7	0	5	2	2	2	4	2	0	5	0	3	0	0.7	3	0.6	0.5	0.6	5	1	0.5	4	2	0
ENSG00000123124	15	11	14	20	5	17	12	13	14	12	27	17	17	24	14	17	11	4	18	18	18	9	14	12	22	18	16	14	16
